id,title,ground_truth,prediction,layer,latency,claim,search_keyword,reason
24290,"Benar, Foto Uang dan Amplop Bergambar salah Satu Paslon Pilkada Kabupaten Pekalongan",Benar,Hoax,google_news,596.9605188999994,"Paslon 01 Fadia Arafiq-Sukirman melakukan politik uang senilai Rp70 ribu dalam Pilkada Kabupaten Pekalongan, Jawa Tengah, tahun 2024.",Politik Uang Pilkada Pekalongan,"Klaim paslon 01 Fadia Arafiq-Sukirman melakukan politik uang senilai Rp70 ribu dalam Pilkada Kabupaten Pekalongan, Jawa Tengah, tahun 2024 dianggap hoax karena tidak ada bukti yang cukup untuk mendukung klaim tersebut. Bukti yang tersedia, seperti foto uang dan amplop bergambar salah satu paslon pilkada, tidak dapat dihubungkan dengan klaim tentang politik uang senilai Rp70 ribu. Oleh karena itu, klaim ini tidak dapat dipertanggungsikan sebagai fakta yang terbukti."
24288,"Ratusan surat suara sudah tercoblos di Alas, Sumbawa",Benar,Hoax,google_news,1817.7615229999935,"Ratusan surat suara telah tercoblos di Kabupaten Alas, Sumbawa.",Surat Suara Kabupaten Alas,"Klaim tentang ratusan surat suara telah tercoblos di Kabupaten Alas, Sumbawa, dianggap hoax karena tidak ada bukti yang kuat untuk mendukung klaim tersebut. Bukti 1, yaitu artikel dari detikcom, tidak memberikan informasi yang spesifik tentang surat suara yang tercoblos, sehingga tidak dapat dipastikan keaslian klaim tersebut. Bukti 2, yaitu artikel dari insidelombok, membahas tentang cara mengenali hoaks yang muncul sebelum, saat, dan setelah pemilu, tetapi tidak menyebutkan klaim tersebut secara spesifik. Bukti 3, yaitu artikel dari koranntb.com, membahas tentang program ganjar-mahfud di Monjok, tetapi tidak terkait dengan surat suara yang tercoblos. Oleh karena itu, klaim tersebut dianggap hoax dan tidak dapat dipastikan keaslian."
24285,"Benar, Video Petugas KPPS di Kota Ambon Coblos Surat Suara untuk Salah Satu Paslon",Benar,Tidak Diketahui,google_news,108.22668870000052,KPPS mencoblos surat suara sisa untuk kandidat tertentu di TPS Batu Merah Kebun Cengkeh.,TPS Batu Merah Kebun Cengkeh,Tidak ditemukan artikel yang relevan untuk memverifikasi klaim. Informasi ini belum dapat dipastikan benar maupun salah. Disarankan untuk tidak menyebarkan informasi tersebut sebelum tersedia sumber yang kredibel.
24283,119 Surat Suara Tercoblos di Juran Alas Sumbawa,Benar,Tidak Diketahui,google_news,286.35929710000346,"Dugaan kecurangan terjadi di TPS 06 Desa Juran Alas, Kecamatan Alas, Kabupaten Sumbawa, Nusa Tenggara Barat saat hari pencoblosan pilkada serentak.",TPS Juran Alas,Tidak ditemukan artikel yang relevan untuk memverifikasi klaim. Informasi ini belum dapat dipastikan benar maupun salah. Disarankan untuk tidak menyebarkan informasi tersebut sebelum tersedia sumber yang kredibel.
24281,"Benar, Surat Suara di TPS 9 Tingkulu Manado Sudah Tercoblos saat Dibuka",Benar,Hoax,turnbackhoax,396.0202285999985,Kalah fajar p serangan komang.,Komang,"Alasan Verifikasi:

Klaim bahwa ""Kalah fajar p serangan komang"" dikategorikan sebagai Hoax karena tidak ada bukti yang kuat untuk mendukung klaim tersebut. Bukti yang tersedia, yaitu artikel dengan narasi tentang akun Facebook palsu yang mengatasnamakan Bupati Tabanan I Komang Gede Sanjaya dan menggunakan foto-foto palsu, menunjukkan bahwa klaim tersebut tidak berdasar pada fakta. Selain itu, keterangan langsung dari Bupati Tabanan I Komang Gede Sanjaya sendiri dalam akun Facebook pribadinya yang membenarkan bahwa akun tersebut palsu dan mengingatkan masyarakat untuk tidak mudah percaya dengan informasi hoaks. Dengan demikian, klaim ""Kalah fajar p serangan komang"" tidak dapat disahkan dan dikategorikan sebagai Hoax."
24252,"Viral Surat Suara di TPS KBB Diduga Sudah Tercoblos, Ini Faktanya",Benar,Tidak Diketahui,google_news,100.32590339999297,Video dugaan kecurangan dalam momen pemungutan suara Pilkada Serentak 2024 di Kabupaten Bandung Barat menunjukkan surat suara tercoblos.,Surat Suara Terkokol,Tidak ditemukan artikel yang relevan untuk memverifikasi klaim. Informasi ini belum dapat dipastikan benar maupun salah. Disarankan untuk tidak menyebarkan informasi tersebut sebelum tersedia sumber yang kredibel.
24248,Cek Fakta (Benar): Edaran Kupon Beras Gratis di Jembrana,Benar,Tidak Diketahui,google_news,99.01994410000044,Kupon beras gratis menampilkan wajah pasangan calon bupati Jembrana dan pasangan calon gubernur Bali.,Kupon Beras Jembrana,Tidak ditemukan artikel yang relevan untuk memverifikasi klaim. Informasi ini belum dapat dipastikan benar maupun salah. Disarankan untuk tidak menyebarkan informasi tersebut sebelum tersedia sumber yang kredibel.
24243,CEK FAKTA: Benarkah Polsek Tombatu Amankan Ratusan Amplop Berisi Uang untuk Serangan Fajar?,Benar,Valid,turnbackhoax,449.500865000009,Polsek Tombatu Timur amankan ratusan amplop berisi uang.,Polsek Tombatu Timur,"Alasan Verifikasi: Klaim ""Polsek Tombatu Timur amankan ratusan amplop berisi uang"" dikategorikan sebagai Valid karena didukung oleh bukti yang kuat, yaitu video dengan narasi polisi mengamankan ratusan amplop berisi uang yang beredar di medsos, serta laporan penangkapan dua orang pelaku yang diduga membagikan amplop tersebut kepada warga. Penelusuran yang dilakukan oleh Tim Cek Fakta Kompas.com menemukan bahwa video tersebut identik dengan tangkapan layar yang ada di laman Tribun Manado, dan informasi tentang penangkapan itu disebutkan dalam pemberitaan yang sama. Selain itu, kasat Reskrim Polres Mitra Iptu Lutfi Adinugraha Pratama juga menyatakan bahwa penangkapan itu dilakukan setelah polisi menerima laporan dari masyarakat dan bahwa dua orang pelaku sudah diserahkan ke Bawaslu Minahasa Tenggara."
23829,"Benar, Video Pembagian Amplop dan Poster Pasangan Calon Bupati di Pamekasan, Madura",Benar,Hoax,google_news,811.8092484999943,Video pembagian amplop dan poster pasangan calon bupati Pamekasan kepada warga benar-benar ditempel di dinding dan bangku sekolah.,Video pasangan bupati,"Klaim tentang video pembagian amplop dan poster pasangan calon bupati Pamekasan di sekolah ditempel di dinding dan bangku sekolah dianggap hoax karena tidak ada bukti yang kuat untuk mendukung klaim tersebut. Bukti 1 dari Tempo.co yang membantu menyangkal klaim ini, sedangkan Bukti 2 dari CekFakta #285 yang membantah klaim tentang video mata uang BRICS juga menunjukkan bahwa klaim tersebut tidak dapat dipercaya. Oleh karena itu, verifikasi berdasarkan seluruh bukti ini adalah hoax."
23476,"CEK FAKTA: Debat Pilgub Jatim 2024, Luluk Nur Hamidah Sebut Jumlah Penduduk Miskin di Jatim Tertinggi di Indonesia, Benarkah?",Benar,Hoax,google_news,7838.173293299988,Kondisi Jawa Timur memiliki jumlah penduduk miskin tertinggi di Indonesia.,Jawa Timur Miskin,"Klaim bahwa kondisi Jawa Timur memiliki jumlah penduduk miskin tertinggi di Indonesia dianggap HOAX karena tidak ada bukti yang mendukung klaim tersebut. Meskipun ada beberapa sumber yang menyatakan bahwa Jawa Timur memiliki tingkat kemiskinan yang tinggi, namun tidak ada sumber yang secara spesifik menyatakan bahwa Jawa Timur memiliki jumlah penduduk miskin tertinggi di Indonesia. Bukti-bukti yang tersedia seperti SuaraData.com, Universitas Airlangga, Kompas.id, dan lain-lain hanya menyebutkan bahwa Jawa Timur memiliki tingkat kemiskinan yang tinggi, tetapi tidak memberikan data yang spesifik tentang jumlah penduduk miskin tertinggi di Indonesia. Oleh karena itu, klaim tersebut tidak dapat dibuktikan dan dianggap HOAX."
23078,"[SALAH] Hewan “Sapi Laut” Terdampar di Bangkalan, Madura",Benar,Tidak Diketahui,google_news,75.39982710000186,Klaim utama: Nelayan sukolela di Bangkalan menangkap sapi laut.,Menangkap Sapi Laut,Tidak ditemukan artikel yang relevan untuk memverifikasi klaim. Informasi ini belum dapat dipastikan benar maupun salah. Disarankan untuk tidak menyebarkan informasi tersebut sebelum tersedia sumber yang kredibel.
23008,"Benar, Video Seorang Pria Mengkonsumsi Makanan dan Minuman yang Dicampur Semen",Benar,Hoax,google_news,470.9457636000007,Pria dalam video meminum adonan semen dan memakan pisang yang dicocol dengan semen.,Semen Pisang,"Klaim tentang pria meminum adonan semen dan memakan pisang yang dicocol dengan semen dianggap hoax karena tidak ada bukti yang kuat untuk mendukung klaim tersebut. Bukti 1 dari Cekfakta.com membantah klaim tersebut, menunjukkan bahwa informasi tersebut tidak dapat dipercaya. Oleh karena itu, verifikasi berdasarkan seluruh bukti adalah hoax."
22066,"Benar, Mulyono Nama Pertama Presiden Joko Widodo",Benar,Hoax,turnbackhoax,1985.0690365000048,"Benar, nama pertama Presiden Joko Widodo adalah Mulyono.",Mulyono,"Berdasarkan seluruh bukti yang ditemukan, klaim tersebut dikategorikan sebagai Hoax karena mengandung informasi yang tidak benar. Berikut adalah alasan verifikasi:

1. Klaim bahwa pria berkacamata di foto postingan Facebook bernama Hari Mulyono dan merupakan lulusan dari Universitas Gadjah Mada (UGM) tidak benar. Foto tersebut sebenarnya merupakan gambar Presiden Joko Widodo yang diambil saat momen pernikahan dengan Ibu Iriana.

2. Klaim bahwa nama pertama Presiden Joko Widodo adalah Mulyono dan kemudian diganti menjadi Joko Widodo karena sering sakit-sakitan tidak benar. Informasi ini telah dipbenarkan oleh Presiden Jokowi sendiri dalam wawancara yang dilakukan Pemimpin Redaksi SCTV Retno Pinasti.

3. Klaim bahwa pria berkacamata di foto postingan Facebook bernama Harry Mulyono dan merupakan mantap segalanya tidak benar. Foto tersebut sebenarnya merupakan gambar Presiden Joko Widodo yang diambil saat momen pernikahan dengan Ibu Iriana.

Dengan demikian, klaim-klaim tersebut dapat dikategorikan sebagai Hoax karena mengandung informasi yang tidak benar dan menyesatkan."
21978,"Benar, Realisasi Patung Garuda IKN Berbeda dengan Desain Awal",Benar,Valid,turnbackhoax,754.0437535999954,Klaim utama: Realisasi pembangunan patung garuda IKN tidak sama dengan desain awalnya.,Patung Garuda IKN,"Klaim utama bahwa realisasi pembangunan patung garuda IKN tidak sama dengan desain awalnya dikategorikan sebagai Valid berdasarkan bukti yang tersedia. Desain awal patung garuda IKN dibuat oleh seniman patung asal Bali, I Nyoman Nuarta, pada sekitar Maret 2020 dan memiliki kepala yang maju ke depan serta sayap yang memiliki tujuh tonjolan mirip jari. Namun, desain akhir tersebut diklaim menghadap ke depan dan memiliki empat ujung sayap yang mencuat ke arah atas. Bukti-bukti ini mendukung klaim bahwa realisasi pembangunan patung garuda IKN tidak sama dengan desain awalnya."
21593,"Benar, Video Jaksa Agung Kansas Mengajukan Gugatan Pada Pfizer",Benar,Hoax,turnbackhoax,3327.9684108999936,"Pfizer mengklaim vaksin Covid-19 aman untuk wanita hamil, namun laporan dari 458 wanita hamil yang menerima vaksin tersebut menunjukkan efek samping dan keguguran.",Vaksin Pfizer,"Berdasarkan seluruh bukti yang ditemukan, klaim tersebut dikategorikan sebagai Hoax karena:

1. Klaim mengenai penyakit Sindrom Stiff-Person yang disebabkan oleh vaksinasi Covid-19 merupakan klaim yang ‘tidak masuk akal secara ilmiah’.
2. Dokumen yang dimiliki oleh Pfizer bukan dokumen yang menunjukkan efek samping yang dimiliki setelah melakukan vaksinasi Covid-19 dan belum memiliki hubungan sebab akibat yang berarti.
3. Sindrom Stiff-Person yang diderita penyanyi Celine Dion disebabkan vaksin Pfizer merupakan hoax dengan kategori Konten yang Menyesatkan.

Alasan verifikasi: Klaim tersebut tidak didukung oleh bukti ilmiah dan dokumen resmi dari Pfizer, sehingga dikategorikan sebagai Hoax."
20675,"Benar, Klaim Ahok soal Penghasilan Minimal untuk Hidup di Jakarta Rp5 Juta",Benar,Hoax,google_news,5973.999434900004,Penghasilan minimal warga yang hidup di DKI Jakarta adalah Rp5 juta per bulan.,DPH DKI Jakarta,"Klaim bahwa penghasilan minimal warga yang hidup di DKI Jakarta adalah Rp5 juta per bulan dianggap hoax karena tidak ada bukti yang mendukung klaim tersebut. Meskipun ada beberapa sumber yang menyebutkan gaji minimum atau ideal hidup di Jakarta, namun semua sumber tersebut menunjukkan bahwa gaji minimal tersebut lebih tinggi dari Rp5 juta, seperti Rp10 juta (VIVA.co.id), Rp15 juta (Ahok dan CNBC Indonesia), atau bahkan Rp77 juta (CNBC Indonesia). Selain itu, beberapa bukti juga menyebutkan bahwa gaji ideal hidup di Jakarta lebih terkait dengan UMR (Upah Minimal Raskin) yang berbeda dari gaji minimal. Oleh karena itu, klaim tentang penghasilan minimal warga DKI Jakarta Rp5 juta per bulan tidak dapat didukung oleh bukti-bukti yang tersedia dan dianggap hoax."
20541,[SALAH] MENTERI PUPR BASUKI HADIMULJONO RESMI MUNDUR DARI KABINET,Benar,Hoax,turnbackhoax,1074.4894785999932,PAK BASUKI RESMI MUNDUR DARI KABINET.,Basuki Resmi Mundur,"Setelah melakukan penelusuran dan menganalisis semua bukti yang tersedia, dapat disimpulkan bahwa klaim ""PAK BASUKI RESMI MUNDUR DARI KABINET"" adalah hoax. Bukti-bukti yang ditemukan tidak mendukung klaim tersebut, tetapi menunjukkan bahwa video yang beredar memang merupakan potongan dari live sidang DPR RI dan tidak ada informasi tentang pengunduran diri Basuki Hadimuljono sebagai Menteri PUPR dari kabinet. Selain itu, artikel-artikel yang disebutkan dalam narasi video juga tidak mendukung klaim tersebut, tetapi membahas tentang program Tapera dan pendahuluan Rencana Kerja dan Anggaran Kementerian Negara/Lembaga (RKA-KL) dan Rencana Kerja Pemerintah (RKP) tahun anggaran 2025. Oleh karena itu, klaim tersebut dapat dikategorikan sebagai hoax dan tidak memiliki dasar yang solid."
19905,"Benar, Narasi yang Mengatakan Sering Banyak Minum Air Putih Malam Hari Sebelum Tidur Bisa Sebabkan Sakit Ginjal",Benar,Hoax,turnbackhoax,742.5032070000016,Ginjal bisa rusak jika seseorang sering minum banyak air putih pada malam hari atau satu jam sebelum tidur.,Minum air putih sebelum tidur,"Klaim bahwa ginjal bisa rusak jika seseorang sering minum banyak air putih pada malam hari atau satu jam sebelum tidur dikategorikan sebagai Hoax karena tidak ada bukti yang kuat untuk mendukung klaim tersebut. Bukti yang ditemukan melalui penelusuran menunjukkan bahwa video pendek dokter Tirta Mandira Hudhi tentang tips menurunkan berat badan dengan ritual minum air putih sebelum tidur telah diubah dari aslinya dan tidak ada bukti yang mendukung klaim tersebut. Selain itu, ahli gizi klinis dr Jovita Amelia juga menyatakan bahwa hanya mengkonsumsi air mineral sebelum tidur tidak bisa otomatis menurunkan berat badan sebanyak 5 kilogram dalam tiga hari. Oleh karena itu, klaim tersebut tidak memiliki dasar yang kuat dan dapat dikategorikan sebagai Hoax."
19829,"Benar, Kasus Demam Berdarah Dengue Tinggi karena Perubahan Iklim",Benar,Hoax,turnbackhoax,2005.1967188999988,Kementerian Kesehatan menyatakan bahwa tingginya angka kasus Demam Berdarah Dengue disebabkan oleh perubahan iklim.,Demam Berdarah Dengue,"Berdasarkan seluruh bukti yang ditemukan, klaim tersebut dikategorikan sebagai Hoax karena tidak ada studi ilmiah yang membuktikan hal itu dan sampai saat ini belum ada obat khusus untuk menyembuhkan DBD. Hingga saat ini pula, belum ada obat yang benar-benar berkhasiat untuk menyembuhkan DBD. Sebabnya, DBD merupakan penyakit infeksi yang disebabkan oleh virus."
19791,"Benar, Video Demonstrasi Warga Jepang Terkait Pandemic Treaty",Benar,Tidak Diketahui,google_news,122.55924159999996,Video demonstrasi warga Jepang menolak Pandemic Treaty.,"Video demonstrasi warga Jepang menolak Pandemic Treaty dapat diubah menjadi:

Pandemic Treaty

atau lebih spesifik lagi:

Treaty Pandemic Jepang",Tidak ditemukan artikel yang relevan untuk memverifikasi klaim. Informasi ini belum dapat dipastikan benar maupun salah. Disarankan untuk tidak menyebarkan informasi tersebut sebelum tersedia sumber yang kredibel.
35299,"Keliru, AstraZeneca Berarti Jalan Menuju Kematian",Salah,Hoax,google_news,1952.0158995999955,AstraZeneca tidak berarti jalan menuju kematian.,AstraZeneca tidak berarti jalan menuju kematian.,"Setelah menganalisis seluruh bukti, dapat disimpulkan bahwa klaim ""AstraZeneca tidak berarti jalan menuju kematian"" adalah hoax. Bukti-bukti yang tersedia menunjukkan bahwa klaim tersebut telah dibantah oleh berbagai sumber, termasuk Tempo.co, Kompas.com, dan Hoaksbuster. Selain itu, bukti 6 juga menunjukkan bahwa AstraZeneca adalah perusahaan farmasi yang mengembangkan vaksin COVID-19, bukan memiliki nama yang berarti ""jalan menuju kematian"". Oleh karena itu, klaim tersebut dapat dianggap sebagai hoax yang telah dibantah oleh sumber-sumber yang tepercaya."
35298,"Hoaks, Pemadaman Listrik Global 9 Hari Mulai 18 Juli 2026",Salah,Hoax,google_news,742.9830242000025,Pemadaman listrik global selama 9 hari dimulai pada 18 Juli 2026 sebagai salah satu agenda 2030.,Pemadaman listrik global selama 9 hari dimulai pada 18 Juli 2026 sebagai salah satu agenda 2030.,"Setelah menganalisis seluruh bukti, dapat disimpulkan bahwa klaim tentang pemadaman listrik global selama 9 hari dimulai pada 18 Juli 2026 adalah hoax. Bukti-bukti yang tersedia dari Cekfakta.com dan Kompasiana.com membantah klaim tersebut dengan menyatakan bahwa tidak ada bukti yang cukup untuk mendukung kejadian tersebut. Oleh karena itu, klaim ini dapat dianggap sebagai hoax yang tidak memiliki dasar kebenaran."
35297,"Tidak Benar, Pemerintah Batasi Motor Isi Pertalite Rp50 Ribu",Salah,Tidak Diketahui,google_news,282.37798750000366,Pemerintah mengeluarkan kebijakan baru untuk menerapkan pembatasan pengisian bahan bakar minyak jenis pertalite untuk pengendara sepeda motor dengan batas pembelian Rp50 ribu.,Pemerintah mengeluarkan kebijakan baru untuk menerapkan pembatasan pengisian bahan bakar minyak jenis pertalite untuk pengendara sepeda motor dengan batas pembelian Rp50 ribu.,"Artikel relevan ditemukan, tetapi isi artikel tidak berhasil diambil sehingga verifikasi tidak dapat dilakukan."
35296,"Salah, Dadan Hindayana Sebut Jokowi Terima Suap MBG Rp2 Triliun",Salah,Hoax,google_news,550.4015003999957,Dadan Hindayana menyebutkan bahwa Joko Widodo menerima uang suap sebesar Rp2 triliun dari program Makan Bergizi Gratis (MBG).,Dadan Hindayana menyebutkan bahwa Joko Widodo menerima uang suap sebesar Rp2 triliun dari program Makan Bergizi Gratis (MBG).,"Klaim tentang Dadan Hindayana menyebutkan bahwa Joko Widodo menerima uang suap sebesar Rp2 triliun dari program Makan Bergizi Gratis (MBG) dianggap hoax karena tidak ada bukti yang kuat untuk mendukung klaim tersebut. Bukti yang tersedia, yaitu artikel dari Kompas.com dengan judul ""[HOAKS] Artikel Dadan Hindayana Sebut Jokowi Terima Uang Suap MBG Rp 2 Triliun"", tidak menemukan bukti yang konkrit untuk mendukung klaim tersebut. Oleh karena itu, klaim ini dianggap hoax dan tidak dapat dipercaya."
35295,"Tidak Benar, Hantavirus Disebut Pandemi COVID-19 Jilid 2",Salah,Hoax,turnbackhoax,5866.002210600011,Hantavirus bukanlah virus yang dirilis untuk pandemi COVID-19 jilid 2.,Hantavirus,"Klaim tersebut dikategorikan sebagai Hoax karena tidak didukung dengan fakta ilmiah. Pemilik akun X bernama Soothsayer, yang bergabung dengan platform X sejak Juni 2022 dan berbasis di Filipina, telah melayangkan permohonan konfirmasi kepada pemilik akun melalui platform X, namun belum menerima tanggapan hingga artikel ini diterbitkan. Faktanya, virus Hanta bukan hal baru melainkan ancaman lama yang telah memicu wabah besar di Korea Selatan sejak era 1950-an. Klaim bahwa Hantavirus sudah diprediksi sejak tahun 2022 tidak didukung dengan fakta ilmiah dan merupakan Hoax."
35294,"Salah, Kepala BGN Nanik S Deyang Tuduh Dadan Musuh Dalam Selimut",Salah,Tidak Diketahui,google_news,271.9236399000074,Kepala Badan Gizi Nasional (BGN) baru Nanik Sudaryati Deyang menuduh Mantan Kepala BGN Dadan Hindayana sebagai musuh dalam selimut yang tidak patuh terhadap perintah presiden.,Kepala Badan Gizi Nasional (BGN) baru Nanik Sudaryati Deyang menuduh Mantan Kepala BGN Dadan Hindayana sebagai musuh dalam selimut yang tidak patuh terhadap perintah presiden.,"Artikel relevan ditemukan, tetapi isi artikel tidak berhasil diambil sehingga verifikasi tidak dapat dilakukan."
35292,"Hoaks, Purbaya Umumkan Beri Bantuan Bagi 700 Orang Tercepat",Salah,Hoax,turnbackhoax,1756.9850294000062,Menteri Keuangan RI Purbaya Yudhi Sadewa mengumumkan bahwa bantuan telah hadir untuk masyarakat Indonesia dan mencari 700 orang tercepat untuk dibantu.,700 orang tercepat,"Berdasarkan seluruh bukti yang ditemukan, klaim bahwa Purbaya memberikan bantuan kepada 700 orang tercepat dikategorikan sebagai Hoax. Bukti-bukti tersebut antara lain: akun pengunggah video tidak resmi dengan foto profil ""Bantuan Pemerintah"" dan nomor WhatsApp yang berbeda dari akun resmi, video yang terdengar kaku dan tidak alami dalam intonasi suara, audio hasil analisis AI memiliki probabilitas 99,3 persen sebagai suara hasil manipulasi AI, pencarian gambar terbalik pada mesin pencarian Google menunjukkan video serupa adalah pidato pertama Purbaya sebagai Menteri Keuangan RI pada 9 September 2025. Selain itu, klaim tersebut tidak disahkan oleh Kementerian Keuangan RI dan tidak ada bukti yang mendukung bahwa Purbaya memang menawarkan bantuan kepada 700 orang tercepat melalui nomor atau video tidak resmi."
35291,"Keliru, Episode The Simpsons Prediksi Penyebaran Hantavirus",Salah,Hoax,turnbackhoax,2055.0985897000064,Kartun The Simpsons telah meramalkan penyebaran hantavirus pada 2026.,Kartun The Simpsons,"Klaim bahwa kartun The Simpsons memprediksi kebangkrutan Bank Silicon Valley (Silicon Valey) dan kematian Presiden Amerika Donald Trump adalah klaim yang salah. Bukti-bukti yang ditemukan menunjukkan bahwa video yang diklaim The Simpsons memprediksi kebangkrutan Silicon Valey Bank ternyata keliru, karena video itu merupakan cuplikan dari kartun The Simpsons episode ""The PTA Disband"" yang ditayangkan pada 1995 lalu. Adegan tersebut, dibuat sebagai parodi dari kegagalan bank dalam film klasik Jimmy Stewart, ""It's a Wonderful Life."" Video yang diklaim The Simpsons memprediksi Silicon Valey Bank bangkrut juga sudah dimanipulasi. Nama ""First Bank of Springfield"" yang muncul di episode aslinya telah diganti dengan ""Silicon Valley Bank"". Selain itu, klaim bahwa kartun The Simpsons meramal kematian Donald Trump pada 27 Agustus 2020 adalah teori konspirasi palsu yang berawal dari gambar yang beredar di media sosial. Gambar tersebut ternyata tidak berasal dari pengumpul berita, melainkan dari situs kontroversial 4chan. Penciptanya tidak diketahui."
35288,[PENIPUAN] Tautan Lowongan Kerja AQUA,Salah,Hoax,turnbackhoax,2036.002679799989,Kerja terbuka untuk kamu yang siap kerja dan mau berkembang!,kerja terbuka,"Unggahan yang menyertakan tautan lowongan kerja Bank Rakyat Indonesia (BRI) dan meminta pelamar memberikan nomor telegram aktif dikategorikan sebagai Hoax karena tidak ada bukti keaslian dari sumber yang resmi. Tautan yang disertakan pada bio akun TikTok tersebut tidak terafiliasi dengan situs resmi BRI, yaitu bri.co.id, melainkan milik Cloudflarenet dengan newbaft.com. Selain itu, pengunjung diarahkan untuk mengisi data pribadi dan kode OTP yang dikirimkan melalui nomor Telegram, yang biasanya digunakan untuk memancing korban berkomunikasi langsung dengan pelaku penipuan. Informasi terkait lowongan kerja dan proses perekrutan pekerja dapat dilihat di website resmi BRI dan/atau e-mail dengan domain resmi PT Bank Rakyat Indonesia (Persero) Tbk, bukan pada akun TikTok tersebut. Oleh karena itu, unggahan ini tidak dapat dipercaya sebagai informasi yang akurat tentang lowongan kerja BRI."
